room_id	host_id	room_type	borough	neighborhood	reviews	overall_satisfaction	accommodates	bedrooms	price	minstay	latitude	longitude	last_modified
7055634	9108681	Private room		Buena Park	4	4.5	3	1	85	1	41.957228	-87.654864	33:19.8
6343950	28882851	Entire home/apt		The Loop	2	4	2	1	120	15	41.884667	-87.62351	48:31.9
4622556	23941880	Private room		Rogers Park	9	4.5	2	1	70	1	42.017588	-87.665458	46:20.4
7454893	2937525	Private room		Humboldt Park	5	5	2	1	75	1	41.907491	-87.692786	33:02.1
1391819	7524680	Entire home/apt		Logan Square	6	4.5	4	1	120	1	41.920626	-87.715784	00:26.4
4976785	355606	Private room		Portage Park	16	4.5	2	1	55	1	41.949667	-87.761396	02:32.6
1229267	6705392	Private room		Portage Park	3	3.5	2	1	60	1	41.945555	-87.754193	39:03.8
4556933	23616413	Private room		Lake View	0		2	1	80	1	41.940685	-87.66348	37:28.7
346648	1291732	Private room		Streeterville	26	4.5	4	1	32	1	41.891425	-87.615739	01:30.3
7935810	345899	Entire home/apt		Near North	1	5	2	1	81	1	41.897533	-87.629488	07:26.3
4285800	33004	Entire home/apt		Old Town Triangle	3	5	2	1	165	3	41.91199	-87.639234	18:43.4
4730797	2892101	Private room		Palmer Square	7	4.5	3	1	50	2	41.921918	-87.7002	58:35.1
3975919	20555003	Shared room		Sheffield Neighbors	29	5	4	1	99	1	41.921661	-87.655871	16:46.1
6820803	35719315	Private room		Albany Park	3	5	2	1	70	2	41.955257	-87.703115	33:09.4
7094014	37088152	Private room		Edgewater Beach	7	4.5	1	1	50	1	41.996296	-87.656452	17:15.6
4831239	23457030	Private room		University Village / Little Italy	0		2	1	49	1	41.873839	-87.660904	36:45.0
1565607	33004	Entire home/apt		Wicker Park	2	4	4	2	150	3	41.908636	-87.672876	59:49.6
6221988	19631079	Private room		Lathrop Homes	1	5	2	1	75	1	41.926523	-87.671407	24:38.9
631075	2948491	Entire home/apt		Old Town	30	3.5	4	1	119	1	41.911104	-87.636877	54:18.3
5249649	4390404	Entire home/apt		Kilbourn Park	4	5		2	1500	1	41.940189	-87.739738	38:00.9
2715815	3965428	Entire home/apt		South Loop	10	4.5	4	1	185	10	41.85445	-87.624321	57:43.7
1296218	5684259	Private room		Oakland	4	5	2	1	75	1	41.821842	-87.601295	47:15.5
672775	3412096	Entire home/apt		Lake View East	95	4.5	3	2	225	2	41.940047	-87.648228	13:03.4
5548768	28767616	Private room		Horner Park	19	4.5	1	1	45	1	41.961128	-87.69236	58:49.0
3793376	19477842	Entire home/apt		Lake View East	4	5	3	0	140	1	41.943395	-87.641859	57:25.5
10839	33004	Entire home/apt		Bucktown	3	4.5		4	501		41.921367	-87.682393	06:27.9
3488395	17565773	Entire home/apt		Gold Coast	5	5	2	0	200	4	41.903531	-87.628247	27:54.1
1268060	6294839	Entire home/apt		Gold Coast	143	4.5	2	0	88		41.896795	-87.627681	33:54.3
5681201	29453974	Entire home/apt		Park West	10	5	4	1	130	1	41.928357	-87.639503	20:00.3
1721109	1837370	Entire home/apt		Rogers Park	37	4.5		3	140		41.999687	-87.671159	21:44.8
7825255	41200970	Shared room		Rogers Park	4	4.5	1	1	30	1	42.004529	-87.66498	25:51.6
6028317	31287246	Entire home/apt		Near East Side	3	4.5	3	1	250		41.887034	-87.617919	59:00.7
3760040	16292516	Private room		Lake View	74	4.5	2	1	88		41.942239	-87.651367	57:45.0
5281131	27340932	Entire home/apt		Gold Coast	32	5	4	1	218		41.893161	-87.620519	20:21.3
7531770	38563761	Private room		Rogers Park	6	5		1	97	2	42.00615	-87.668515	53:37.6
7649082	36041938	Private room		Andersonville	12	5		1	94	1	41.98095	-87.66882	54:55.3
7114178	29005195	Entire home/apt		Park West	13	5	2	0	108		41.928723	-87.641347	54:58.4
